celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated,var_week_1,var_week_2,var_week_3,var_week_4,var_week_5,var_week_6,var_week_7,var_week_8,var_week_9,var_week_10,var_week_11,season_mean_week_variance,season_flag,avg_weekly_rank,final_rank_parsed,episodes_participated_parsed,rank_difference,season_flag_parsed,avg_agg_score,avg_week_variance
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8,6,8,,9,10,10,,9,9,9,,8,9,9,,10,10,10,,10,10,10,,9,9,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,22.0,4.0,29.0,1.0,27.0,1.0,26.0,2.0,30.0,1.0,30.0,1.0,27.5,1.0,28.6665,2.0,,,,,,,8,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,1.625,3.0,8,-1.375,True,27.520812499999998,14.408296702971152
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7,7,7,,7,8,8,,7,6,6,,8,8,8,,7,8,8,,8,7,8,,7,7,6.5,,9,9,8.6666,,,,,,,,,,,,,,21.0,5.0,23.0,4.0,19.0,7.0,24.0,5.0,23.0,5.0,23.0,4.0,20.5,4.0,26.666600000000003,3.0,,,,,,,8,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,4.625,2.0,8,2.625,True,22.520825000000002,14.408296702971152
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7,8,8,,8,8,8,,7,8,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,23.0,2.0,24.0,3.0,22.0,5.0,,,,,,,,,,,,,,,,,3,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,3.3333333333333335,8.0,3,-4.666666666666666,True,23.0,14.408296702971152
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,4,4,,6,5,5,,6,4,4,,4,2,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,12.0,10.0,16.0,9.0,14.0,8.0,8.0,7.0,,,,,,,,,,,,,,,4,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,8.5,7.0,4,1.5,True,12.5,14.408296702971152
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8,8,8,,9,9,9,,9,9,9,,9,9,10,,9,9,9,,10,10,10,,9.5,9,9,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,24.0,1.0,27.0,2.0,27.0,1.0,28.0,1.0,27.0,2.0,30.0,1.0,27.5,1.0,28.9998,1.0,,,,,,,8,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,1.25,1.0,8,0.25,True,27.437475,14.408296702971152
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4,5,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,13.0,9.0,,,,,,,,,,,,,,,,,,,,,1,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,9.0,10.0,1,-1.0,True,13.0,14.408296702971152
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5,6,6,,7,7,7,,7,8,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,17.0,8.0,21.0,7.0,22.0,4.0,,,,,,,,,,,,,,,,,3,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,6.333333333333333,9.0,3,-2.666666666666667,True,20.0,5.562811210434587
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6,8,8,,8,8,8,,9,9,9,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,22.0,3.0,24.0,3.0,27.0,1.0,24.0,4.0,,,,,,,,,,,,,,,4,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,2.75,8.0,4,-5.25,True,24.25,5.562811210434587
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6,6,7,,9,8,9,,9,9,9,,8,8,8,,9,9,9,,9,7,7,,9,9,9,,8.5,9,9,,0,0,0,,0,0,0,,,,,,19.0,6.0,26.0,2.0,27.0,1.0,24.0,4.0,27.0,1.0,23.0,4.0,27.0,4.0,26.5,4.0,,,,,,,8,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,3.25,4.0,8,-0.75,True,24.9375,5.562811210434587
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7,7,7,,10,9,10,,8,6,8,,9,9,9,,8,8,9,,8,8,8,,9.5,9,10,,9.5,8.5,9,,9.5,10,10,,0,0,0,,,,,,21.0,5.0,29.0,1.0,22.0,4.0,27.0,3.0,25.0,5.0,24.0,3.0,28.5,1.0,27.0,2.0,29.5,1.0,,,,,9,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,2.7777777777777777,3.0,9,-0.22222222222222232,True,25.88888888888889,5.562811210434587
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9,8,9,,7,6,8,,8,6,8,,10,9,10,,9,9,9,,9,9,10,,9.5,9,9.5,,9.5,9,10,,10,9.5,10,,10,10,9.6666,,,,,,26.0,1.0,21.0,7.0,22.0,4.0,29.0,1.0,27.0,1.0,28.0,1.0,28.0,3.0,28.5,1.0,29.5,1.0,29.666600000000003,1.0,,,10,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,2.1,2.0,10,0.10000000000000009,True,26.866660000000003,5.562811210434587
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8,8,8,,8,8,8,,7,6,6,,8,8,8,,9,9,9,,8,8,9,,10,9.5,9,,8.5,9,9.5,,9.5,10,10,,10,9.6666,10,,,,,,24.0,2.0,24.0,3.0,19.0,9.0,24.0,4.0,27.0,1.0,25.0,2.0,28.5,1.0,27.0,2.0,29.5,1.0,29.666600000000003,1.0,,,10,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,2.6,1.0,10,1.6,True,25.76666,5.562811210434587
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7,5,6,,8,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,18.0,7.0,22.0,6.0,,,,,,,,,,,,,,,,,,,2,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,6.5,10.0,2,-3.5,True,20.0,5.562811210434587
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7,7,8,,7,8,8,,7,7,8,,9,9,10,,9,9,9,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,22.0,3.0,23.0,5.0,22.0,4.0,28.0,2.0,27.0,1.0,,,,,,,,,,,,,5,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,3.0,7.0,5,-4.0,True,24.4,5.562811210434587
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5,5,5,,7,7,7,,8,9,8,,6,7,7,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,15.0,10.0,21.0,7.0,25.0,3.0,20.0,8.0,24.0,6.0,,,,,,,,,,,,,5,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,6.8,6.0,5,0.7999999999999998,True,21.0,5.562811210434587
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5,5,6,,7,6,6,,7,7,7,,7,7,8,,8,8,8,,7,6,5,,7.5,8,7.5,,0,0,0,,0,0,0,,0,0,0,,,,,,16.0,9.0,19.0,10.0,21.0,8.0,22.0,7.0,24.0,6.0,18.0,5.0,23.0,5.0,,,,,,,,,7,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,7.142857142857143,5.0,7,2.1428571428571432,True,20.428571428571427,5.562811210434587
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5,4,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,12.0,11.0,,,,,,,,,,,,,,,,,,,,,1,15.834710743801653,7.6,6.666666666666667,8.1875,1.836734693877551,10.64,4.3,0.5625,0.0,0.0,,5.562811210434587,True,11.0,11.0,1,0.0,True,12.0,5.562811210434587
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6,5,6,,7,7,7,,7,6,7,,6,5,5,,6,6,6,,7,6,6,,7.5,7.5,7.5,,0,0,0,,0,0,0,,0,0,0,,,,,,17.0,8.0,21.0,6.0,20.0,9.0,16.0,7.0,18.0,6.0,19.0,7.0,22.5,5.0,,,,,,,,,7,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,6.857142857142857,6.0,7,0.8571428571428568,True,19.071428571428573,10.983475248317763
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7,7,7,,7,8,7,,8,8,8,,7,9,8,,8,8,8,,8,8,8,,9,9,9,,8,7.5,8,,9.5,10,9.5,,0,0,0,,,,,,21.0,3.0,22.0,5.0,24.0,1.0,24.0,3.0,24.0,4.0,24.0,4.0,27.0,3.0,23.5,4.0,29.0,4.0,,,,,9,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,3.4444444444444446,4.0,9,-0.5555555555555554,True,24.27777777777778,10.983475248317763
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6,5,5,,6,6,6,,6,5,5,,6,4,5,,4,5,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,16.0,9.0,18.0,11.0,16.0,10.0,15.0,9.0,13.0,8.0,,,,,,,,,,,,,5,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,9.4,8.0,5,1.4000000000000004,True,15.6,10.983475248317763
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7,8,8,,9,9,9,,7,7,7,,7,7,7,,9,10,9,,9,9,10,,10,9.5,10,,9,8.5,9,,10,10,10,,9.6666,9,9.6666,,,,,,23.0,2.0,27.0,1.0,21.0,6.0,21.0,5.0,28.0,2.0,28.0,1.0,29.5,1.0,26.5,3.0,30.0,1.0,28.333200000000005,3.0,,,10,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,2.5,3.0,10,-0.5,True,26.233320000000003,10.983475248317763
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7,7,7,,8,9,9,,7,8,8,,9,8,9,,10,10,10,,9,9,10,,9,8.5,9.5,,10,9,10,,10,9.5,10,,9.6666,9.6666,10,,,,,,21.0,3.0,26.0,2.0,23.0,5.0,26.0,2.0,30.0,1.0,28.0,1.0,27.0,3.0,29.0,1.0,29.5,3.0,29.3332,1.0,,,10,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,2.2,1.0,10,1.2000000000000002,True,26.883319999999998,10.983475248317763
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6,6,7,,6,7,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,19.0,5.0,20.0,10.0,21.0,6.0,,,,,,,,,,,,,,,,,3,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,7.0,10.0,3,-3.0,True,20.0,10.983475248317763
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6,6,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,19.0,5.0,21.0,6.0,,,,,,,,,,,,,,,,,,,2,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,5.5,11.0,2,-5.5,True,20.0,10.983475248317763
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6,6,6,,8,8,8,,8,8,8,,7,8,8,,7,7,7,,7,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,18.0,7.0,24.0,3.0,24.0,1.0,23.0,4.0,21.0,5.0,23.0,5.0,,,,,,,,,,,6,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,4.166666666666667,7.0,6,-2.833333333333333,True,22.166666666666668,10.983475248317763
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5,4,4,,7,7,7,,7,7,7,,7,7,7,,6,6,5,,7,7,7,,6,6.5,6.5,,6.5,6.5,6,,0,0,0,,0,0,0,,,,,,13.0,11.0,21.0,6.0,21.0,6.0,21.0,5.0,17.0,7.0,21.0,6.0,19.0,6.0,19.0,5.0,,,,,,,8,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,6.5,5.0,8,1.5,True,19.0,10.983475248317763
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8,8,8,,8,8,8,,8,8,8,,10,9,9,,8,8,9,,9,9,9,,10,9.5,10,,9.5,9,9,,10,10,10,,9.6666,9.3333,9.6666,,,,,,24.0,1.0,24.0,3.0,24.0,1.0,28.0,1.0,25.0,3.0,27.0,3.0,29.5,1.0,27.5,2.0,30.0,1.0,28.6665,2.0,,,10,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,1.8,2.0,10,-0.19999999999999996,True,26.76665,10.983475248317763
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5,5,5,,7,7,7,,8,8,8,,6,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,15.0,10.0,21.0,6.0,24.0,1.0,16.0,7.0,,,,,,,,,,,,,,,4,10.380165289256198,6.561983471074379,5.959999999999999,19.209876543209877,29.5,10.775510204081632,14.5625,12.54,0.171875,0.1728419755555547,,10.983475248317763,True,6.0,9.0,4,-3.0,True,19.0,10.983475248317763
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7,7,7,,7,7,7,,8,7,8,,9,9,9,,8,9,9,,9,8,8,,8.5,8.5,8.5,,8.5,8.5,8.5,,0,0,0,,0,0,0,,,,,,21.0,5.0,21.0,5.0,23.0,7.0,27.0,2.0,26.0,3.0,25.0,4.0,25.5,5.0,25.5,3.0,,,,,,,8,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,4.25,5.0,8,-0.75,True,24.25,5.725123180457751
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8,8,8,,7,7,7,,9,9,9,,8,9,9,,8,9,9,,8,7,7,,8,8.5,8.5,,0,0,0,,0,0,0,,0,0,0,,,,,,24.0,3.0,21.0,5.0,27.0,1.0,26.0,5.0,26.0,3.0,22.0,7.0,25.0,6.0,,,,,,,,,7,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,4.285714285714286,6.0,7,-1.7142857142857144,True,24.428571428571427,5.725123180457751
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9,8,9,,9,8,9,,9,9,9,,10,10,10,,9,9,10,,9,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,26.0,1.0,26.0,2.0,27.0,1.0,30.0,1.0,28.0,2.0,25.0,4.0,,,,,,,,,,,6,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,1.8333333333333333,7.0,6,-5.166666666666667,True,27.0,5.725123180457751
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7,7,7,,7,7,7,,9,8,9,,8,10,9,,8,9,8,,9,9,9,,8.5,8.5,9.5,,8.5,8.5,8,,9.5,10,9.5,,0,0,0,,,,,,21.0,5.0,21.0,5.0,26.0,4.0,27.0,2.0,25.0,5.0,27.0,3.0,26.5,2.0,25.0,4.0,29.0,3.0,,,,,9,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,3.6666666666666665,4.0,9,-0.3333333333333335,True,25.27777777777778,5.725123180457751
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6,6,6,,7,7,7,,7,7,7,,7,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,18.0,11.0,21.0,5.0,21.0,8.0,23.0,8.0,,,,,,,,,,,,,,,4,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,8.0,9.0,4,-1.0,True,20.75,5.725123180457751
