celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4,5,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,4.333333333333333,9.0,,,,,,,,,,,,,,,,,,,,,1
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5,6,6,,7,7,7,,7,8,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.666666666666667,8.0,7.0,7.0,7.333333333333333,4.0,,,,,,,,,,,,,,,,,3
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6,8,8,,8,8,8,,9,9,9,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.333333333333333,3.0,8.0,3.0,9.0,1.0,8.0,4.0,,,,,,,,,,,,,,,4
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6,6,7,,9,8,9,,9,9,9,,8,8,8,,9,9,9,,9,7,7,,9,9,9,,8.5,9,9,,0,0,0,,0,0,0,,,,,,6.333333333333333,6.0,8.666666666666666,2.0,9.0,1.0,8.0,4.0,9.0,1.0,7.666666666666667,4.0,9.0,4.0,8.833333333333334,4.0,,,,,,,8
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7,7,7,,10,9,10,,8,6,8,,9,9,9,,8,8,9,,8,8,8,,9.5,9,10,,9.5,8.5,9,,9.5,10,10,,0,0,0,,,,,,7.0,5.0,9.666666666666666,1.0,7.333333333333333,4.0,9.0,3.0,8.333333333333334,5.0,8.0,3.0,9.5,1.0,9.0,2.0,9.833333333333334,1.0,,,,,9
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9,8,9,,7,6,8,,8,6,8,,10,9,10,,9,9,9,,9,9,10,,9.5,9,9.5,,9.5,9,10,,10,9.5,10,,10,10,9.6666,,,,,,8.666666666666666,1.0,7.0,7.0,7.333333333333333,4.0,9.666666666666666,1.0,9.0,1.0,9.333333333333334,1.0,9.333333333333334,3.0,9.5,1.0,9.833333333333334,1.0,9.888866666666667,1.0,,,10
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8,8,8,,8,8,8,,7,6,6,,8,8,8,,9,9,9,,8,8,9,,10,9.5,9,,8.5,9,9.5,,9.5,10,10,,10,9.6666,10,,,,,,8.0,2.0,8.0,3.0,6.333333333333333,9.0,8.0,4.0,9.0,1.0,8.333333333333334,2.0,9.5,1.0,9.0,2.0,9.833333333333334,1.0,9.888866666666667,1.0,,,10
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7,5,6,,8,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,7.0,7.333333333333333,6.0,,,,,,,,,,,,,,,,,,,2
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7,7,8,,7,8,8,,7,7,8,,9,9,10,,9,9,9,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.333333333333333,3.0,7.666666666666667,5.0,7.333333333333333,4.0,9.333333333333334,2.0,9.0,1.0,,,,,,,,,,,,,5
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5,5,5,,7,7,7,,8,9,8,,6,7,7,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.0,10.0,7.0,7.0,8.333333333333334,3.0,6.666666666666667,8.0,8.0,6.0,,,,,,,,,,,,,5
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5,5,6,,7,6,6,,7,7,7,,7,7,8,,8,8,8,,7,6,5,,7.5,8,7.5,,0,0,0,,0,0,0,,0,0,0,,,,,,5.333333333333333,9.0,6.333333333333333,10.0,7.0,8.0,7.333333333333333,7.0,8.0,6.0,6.0,5.0,7.666666666666667,5.0,,,,,,,,,7
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5,4,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4.0,11.0,,,,,,,,,,,,,,,,,,,,,1
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6,5,6,,7,7,7,,7,6,7,,6,5,5,,6,6,6,,7,6,6,,7.5,7.5,7.5,,0,0,0,,0,0,0,,0,0,0,,,,,,5.666666666666667,8.0,7.0,6.0,6.666666666666667,9.0,5.333333333333333,7.0,6.0,6.0,6.333333333333333,7.0,7.5,5.0,,,,,,,,,7
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7,7,7,,7,8,7,,8,8,8,,7,9,8,,8,8,8,,8,8,8,,9,9,9,,8,7.5,8,,9.5,10,9.5,,0,0,0,,,,,,7.0,3.0,7.333333333333333,5.0,8.0,1.0,8.0,3.0,8.0,4.0,8.0,4.0,9.0,3.0,7.833333333333333,4.0,9.666666666666666,4.0,,,,,9
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6,5,5,,6,6,6,,6,5,5,,6,4,5,,4,5,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.333333333333333,9.0,6.0,11.0,5.333333333333333,10.0,5.0,9.0,4.333333333333333,8.0,,,,,,,,,,,,,5
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7,8,8,,9,9,9,,7,7,7,,7,7,7,,9,10,9,,9,9,10,,10,9.5,10,,9,8.5,9,,10,10,10,,9.6666,9,9.6666,,,,,,7.666666666666667,2.0,9.0,1.0,7.0,6.0,7.0,5.0,9.333333333333334,2.0,9.333333333333334,1.0,9.833333333333334,1.0,8.833333333333334,3.0,10.0,1.0,9.444400000000002,3.0,,,10
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7,7,7,,8,9,9,,7,8,8,,9,8,9,,10,10,10,,9,9,10,,9,8.5,9.5,,10,9,10,,10,9.5,10,,9.6666,9.6666,10,,,,,,7.0,3.0,8.666666666666666,2.0,7.666666666666667,5.0,8.666666666666666,2.0,10.0,1.0,9.333333333333334,1.0,9.0,3.0,9.666666666666666,1.0,9.833333333333334,3.0,9.777733333333334,1.0,,,10
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6,6,7,,6,7,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.333333333333333,5.0,6.666666666666667,10.0,7.0,6.0,,,,,,,,,,,,,,,,,3
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6,6,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.333333333333333,5.0,7.0,6.0,,,,,,,,,,,,,,,,,,,2
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6,6,6,,8,8,8,,8,8,8,,7,8,8,,7,7,7,,7,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,7.0,8.0,3.0,8.0,1.0,7.666666666666667,4.0,7.0,5.0,7.666666666666667,5.0,,,,,,,,,,,6
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5,4,4,,7,7,7,,7,7,7,,7,7,7,,6,6,5,,7,7,7,,6,6.5,6.5,,6.5,6.5,6,,0,0,0,,0,0,0,,,,,,4.333333333333333,11.0,7.0,6.0,7.0,6.0,7.0,5.0,5.666666666666667,7.0,7.0,6.0,6.333333333333333,6.0,6.333333333333333,5.0,,,,,,,8
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8,8,8,,8,8,8,,8,8,8,,10,9,9,,8,8,9,,9,9,9,,10,9.5,10,,9.5,9,9,,10,10,10,,9.6666,9.3333,9.6666,,,,,,8.0,1.0,8.0,3.0,8.0,1.0,9.333333333333334,1.0,8.333333333333334,3.0,9.0,3.0,9.833333333333334,1.0,9.166666666666666,2.0,10.0,1.0,9.5555,2.0,,,10
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5,5,5,,7,7,7,,8,8,8,,6,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.0,10.0,7.0,6.0,8.0,1.0,5.333333333333333,7.0,,,,,,,,,,,,,,,4
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7,7,7,,7,7,7,,8,7,8,,9,9,9,,8,9,9,,9,8,8,,8.5,8.5,8.5,,8.5,8.5,8.5,,0,0,0,,0,0,0,,,,,,7.0,5.0,7.0,5.0,7.666666666666667,7.0,9.0,2.0,8.666666666666666,3.0,8.333333333333334,4.0,8.5,5.0,8.5,3.0,,,,,,,8
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8,8,8,,7,7,7,,9,9,9,,8,9,9,,8,9,9,,8,7,7,,8,8.5,8.5,,0,0,0,,0,0,0,,0,0,0,,,,,,8.0,3.0,7.0,5.0,9.0,1.0,8.666666666666666,5.0,8.666666666666666,3.0,7.333333333333333,7.0,8.333333333333334,6.0,,,,,,,,,7
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9,8,9,,9,8,9,,9,9,9,,10,10,10,,9,9,10,,9,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8.666666666666666,1.0,8.666666666666666,2.0,9.0,1.0,10.0,1.0,9.333333333333334,2.0,8.333333333333334,4.0,,,,,,,,,,,6
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7,7,7,,7,7,7,,9,8,9,,8,10,9,,8,9,8,,9,9,9,,8.5,8.5,9.5,,8.5,8.5,8,,9.5,10,9.5,,0,0,0,,,,,,7.0,5.0,7.0,5.0,8.666666666666666,4.0,9.0,2.0,8.333333333333334,5.0,9.0,3.0,8.833333333333334,2.0,8.333333333333334,4.0,9.666666666666666,3.0,,,,,9
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6,6,6,,7,7,7,,7,7,7,,7,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,11.0,7.0,5.0,7.0,8.0,7.666666666666667,8.0,,,,,,,,,,,,,,,4
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.333333333333333,12.0,,,,,,,,,,,,,,,,,,,,,1
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7,7,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.0,5.0,7.0,5.0,,,,,,,,,,,,,,,,,,,2
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,8,9,8,,9,9,9,,8,8,8,,9,9,9,,8,7,8,,9,10,9,,9,8.5,8.5,,9.5,9.5,9.5,,10,10,10,,9,9.3333,9.6666,,,,,,8.333333333333334,2.0,9.0,1.0,8.0,6.0,9.0,2.0,7.666666666666667,6.0,9.333333333333334,2.0,8.666666666666666,3.0,9.5,1.0,10.0,1.0,9.333300000000001,2.0,,,10
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,8,8,8,,7,8,8,,9,9,9,,8,9,9,,10,9,10,,10,10,10,,9,9,9,,9,9.5,9.5,,10,10,10,,9.3333,9.3333,9.6666,,,,,,8.0,3.0,7.666666666666667,4.0,9.0,1.0,8.666666666666666,5.0,9.666666666666666,1.0,10.0,1.0,9.0,1.0,9.333333333333334,2.0,10.0,1.0,9.4444,1.0,,,10
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6,7,6,,5,5,5,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.333333333333333,10.0,5.0,11.0,6.0,10.0,,,,,,,,,,,,,,,,,3
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7,7,7,,8,8,8,,9,8,9,,9,9,8,,7,7,7,,8,8,7,,9,8.5,8.5,,8,8.5,8,,9.5,9.5,9,,8,7.5,7.5,,,,,,7.0,5.0,8.0,3.0,8.666666666666666,4.0,8.666666666666666,5.0,7.0,7.0,7.666666666666667,6.0,8.666666666666666,3.0,8.166666666666666,5.0,9.333333333333334,4.0,7.666666666666667,3.0,,,10
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7,7,7,,6,6,6,,6,7,7,,7,8,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.0,5.0,6.0,10.0,6.666666666666667,9.0,7.333333333333333,9.0,7.0,7.0,,,,,,,,,,,,,5
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,7,7,7,,7,6,7,,8,8,9,,9,8,9,,7,8,8,,9,9,9,,7.5,7.5,8,,10,9,9.5,,9.5,9,9.5,,9,8,9,,,,,,7.0,6.0,6.666666666666667,8.0,8.333333333333334,3.0,8.666666666666666,4.0,7.666666666666667,5.0,9.0,3.0,7.666666666666667,6.0,9.5,1.0,9.333333333333334,2.0,8.666666666666666,3.0,,,10
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6,6,6,,6,5,5,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,8.0,5.333333333333333,11.0,7.0,6.0,,,,,,,,,,,,,,,,,3
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8,8,8,,7,7,7,,8,9,9,,7,7,8,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8.0,2.0,7.0,6.0,8.666666666666666,2.0,7.333333333333333,8.0,7.0,8.0,,,,,,,,,,,,,5
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7,7,8,,8,8,8,,7,7,7,,8,8,8,,7,7,8,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.333333333333333,4.0,8.0,4.0,7.0,6.0,8.0,5.0,7.333333333333333,7.0,7.0,7.0,,,,,,,,,,,6
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7,7,7,,8,8,8,,8,8,8,,9,10,9,,8,8,7,,8,8,8,,8.5,8.5,8.5,,0,0,0,,0,0,0,,0,0,0,,,,,,7.0,6.0,8.0,4.0,8.0,4.0,9.333333333333334,3.0,7.666666666666667,5.0,8.0,5.0,8.5,4.0,,,,,,,,,7
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6,6,6,,7,7,7,,6,7,6,,8,8,8,,8,8,8,,9,8,9,,9,8.5,8.5,,8.5,8,8.5,,8.5,9,8.5,,0,0,0,,,,,,6.0,8.0,7.0,6.0,6.333333333333333,10.0,8.0,5.0,8.0,4.0,8.666666666666666,4.0,8.666666666666666,3.0,8.333333333333334,5.0,8.666666666666666,4.0,,,,,9
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7,8,7,,9,9,9,,8,7,8,,10,9,10,,9,9,9,,8,8,8,,9.5,8.5,9.5,,9,8,9,,9,9.5,9,,9.5,9.5,9.5,,,,,,7.333333333333333,4.0,9.0,1.0,7.666666666666667,5.0,9.666666666666666,1.0,9.0,2.0,8.0,5.0,9.166666666666666,1.0,8.666666666666666,4.0,9.166666666666666,3.0,9.5,2.0,,,10
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9,9,9,,9,9,9,,9,9,9,,10,9,10,,9,10,10,,10,10,10,,9.5,8,9.5,,8.5,9.5,9.5,,9.5,9,10,,10,10,10,,,,,,9.0,1.0,9.0,1.0,9.0,1.0,9.666666666666666,1.0,9.666666666666666,1.0,10.0,1.0,9.0,2.0,9.166666666666666,2.0,9.5,1.0,10.0,1.0,,,10
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,5,5,5,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.0,11.0,5.0,12.0,,,,,,,,,,,,,,,,,,,2
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5,6,5,,6,6,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.333333333333333,10.0,5.666666666666667,10.0,,,,,,,,,,,,,,,,,,,2
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5,5,5,,6,7,6,,7,7,7,,6,7,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.0,11.0,6.333333333333333,9.0,7.0,6.0,6.333333333333333,9.0,,,,,,,,,,,,,,,4
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8,8,8,,9,8,9,,7,6,8,,8,7,9,,9,9,9,,9,9,10,,8.5,8.5,8.5,,9,8.5,9,,0,0,0,,0,0,0,,,,,,8.0,2.0,8.666666666666666,3.0,7.0,6.0,8.0,5.0,9.0,2.0,9.333333333333334,2.0,8.5,4.0,8.833333333333334,3.0,,,,,,,8
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6,6,6.5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.166666666666667,8.0,,,,,,,,,,,,,,,,,,,,,1
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6,5,5,,5,5,5,,6,5,5,,8,7,7,,7,7,7,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.333333333333333,12.0,5.0,11.0,5.333333333333333,9.0,7.333333333333333,5.0,7.0,7.0,5.0,7.0,,,,,,,,,,,6
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6,6,6.5,,7,7,7,,7,7,7,,8,8,8,,7,7,8,,8,8,7,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,,,,,6.166666666666667,8.0,7.0,4.0,7.0,6.0,8.0,3.0,7.333333333333333,5.0,7.666666666666667,4.0,8.0,4.0,,,,,,,,,7
