season,week,celebrity_name,ballroom_partner,results,placement,judge1_score,judge2_score,judge3_score,judge4_score,total_judge_score,judge_rank,judge_percent,active,true_elim_flag,exit_type,exit_week,data_anomaly_zero_score
7,1,Brooke Burke,Derek Hough,1st Place,1,8.0,8.0,8.5,,24.5,1.0,0.09722222222222222,True,0,finished,10.0,False
8,1,Gilles Marini,Cheryl Burke,2nd Place,2,8.0,8.0,8.0,,24.0,1.0,0.09876543209876543,True,0,finished,11.0,False
8,1,Denise Richards,Maksim Chmerkoskiy,Eliminated Week 3,12,6.0,6.0,6.0,,18.0,7.5,0.07407407407407407,True,0,eliminated,3.0,False
8,1,David Alan Grier,Kym Johnson,Eliminated Week 5,9,6.0,7.0,6.0,,19.0,6.0,0.07818930041152264,True,0,eliminated,5.0,False
8,1,Lawrence Taylor,Edyta Sliwinska,Eliminated Week 7,7,6.0,5.0,5.0,,16.0,11.0,0.06584362139917696,True,0,eliminated,7.0,False
8,1,Ty Murray,Chelsie Hightower,Eliminated Week 10,4,5.0,4.0,5.0,,14.0,12.0,0.05761316872427984,True,0,eliminated,10.0,False
8,1,Shawn Johnson,Mark Ballas,1st Place,1,8.0,8.0,7.0,,23.0,2.5,0.09465020576131687,True,0,finished,11.0,False
8,1,Steve Wozniak,Karina Smirnoff,Eliminated Week 4,10,5.0,4.0,4.0,,13.0,13.0,0.053497942386831275,True,0,eliminated,4.0,False
8,1,Belinda Carlisle,Jonathan Roberts,Eliminated Week 2,13,6.0,6.0,5.0,,17.0,9.5,0.06995884773662552,True,0,eliminated,2.0,False
8,1,Chuck Wicks,Julianne Hough,Eliminated Week 8,6,6.0,7.0,7.0,,20.0,5.0,0.0823045267489712,True,0,eliminated,8.0,False
8,1,Lil' Kim,Derek Hough,Eliminated Week 9,5,7.0,7.0,7.0,,21.0,4.0,0.08641975308641975,True,0,eliminated,9.0,False
8,1,Steve-O,Lacey Schwimmer,Eliminated Week 6,8,6.0,5.0,6.0,,17.0,9.5,0.06995884773662552,True,0,eliminated,6.0,False
8,1,Holly Madison,Dmitry Chaplin,Eliminated Week 4,11,6.0,6.0,6.0,,18.0,7.5,0.07407407407407407,True,0,eliminated,4.0,False
8,1,Melissa Rycroft,Tony Dovolani,3rd Place,3,8.0,7.0,8.0,,23.0,2.5,0.09465020576131687,True,0,finished,11.0,False
9,1,Ashley Hamiliton,Edyta Sliwinska,Eliminated Week 1,16,6.3333,7.3333,5.3333,,18.9999,15.5,0.046797967676719905,True,1,eliminated,1.0,False
9,1,Debi Mazar,Maksim Chmerkoskiy,Eliminated Week 3,12,8.0,7.0,7.0,,22.0,10.5,0.05418740566465287,True,0,eliminated,3.0,False
9,1,Melissa Joan Hart,Mark Ballas,Eliminated Week 6,9,8.0,8.0,8.0,,24.0,9.0,0.05911353345234858,True,0,eliminated,6.0,False
9,1,Mark Dacascos,Lacey Schwimmer,Eliminated Week 7,6,9.6666,9.6666,9.6666,,28.9998,6.0,0.0714283603088091,True,0,eliminated,7.0,False
9,1,Chuck Liddell,Anna Trebunskaya,Eliminated Week 4,11,8.0,7.0,7.0,,22.0,10.5,0.05418740566465287,True,0,eliminated,4.0,False
9,1,Natalie Coughlin,Alec Mazo,Eliminated Week 5,10,9.6666,8.6666,8.6666,,26.9998,7.5,0.06650223252111338,True,0,eliminated,5.0,False
9,1,Louie Vito,Chelsie Hightower,Eliminated Week 6,8,8.6666,9.6666,8.6666,,26.9998,7.5,0.06650223252111338,True,0,eliminated,6.0,False
9,1,Michael Irvin,Anna Demidova,Eliminated Week 7,7,7.0,6.0,6.0,,19.0,14.0,0.046798213983109294,True,0,eliminated,7.0,False
9,1,Joanna Krupa,Derek Hough,Eliminated Week 9,4,11.3333,11.3333,11.3333,,33.9999,1.0,0.08374392608443776,True,0,eliminated,9.0,False
9,1,Kathy Ireland,Tony Dovolani,Eliminated Week 2,14,7.3333,6.3333,6.3333,,19.9999,12.5,0.04926103157056776,True,0,eliminated,2.0,False
9,1,Tom DeLay,Cheryl Burke,Withdrew,13,7.3333,6.3333,6.3333,,19.9999,12.5,0.04926103157056776,True,0,withdrew,3.0,False
9,1,Macy Gray,Jonathan Roberts,Eliminated Week 1,15,7.3333,5.3333,6.3333,,18.9999,15.5,0.046797967676719905,True,1,eliminated,1.0,False
9,1,Aaron Carter,Karina Smirnoff,Eliminated Week 8,5,10.3333,11.3333,10.3333,,31.999899999999997,2.0,0.07881779829674204,True,0,eliminated,8.0,False
9,1,Mya,Dmitry Chaplin,2nd Place,2,11.3333,8.3333,11.3333,,30.999899999999997,3.0,0.07635473440289418,True,0,finished,10.0,False
9,1,Donny Osmond,Kym Johnson,1st Place,1,10.3333,9.3333,10.3333,,29.999899999999997,5.0,0.07389167050904633,True,0,finished,10.0,False
9,1,Kelly Osbourne,Louis van Amstel,3rd Place,3,9.6666,10.6666,10.6666,,30.9998,4.0,0.07635448809650482,True,0,finished,10.0,False
10,1,Aiden Turner,Edyta Sliwinska,Eliminated Week 4,9,5.0,5.0,5.0,,15.0,10.0,0.07177033492822966,True,0,eliminated,4.0,False
10,1,Shannen Doherty,Mark Ballas,Eliminated Week 2,11,6.0,6.0,6.0,,18.0,7.0,0.0861244019138756,True,0,eliminated,2.0,False
10,1,Niecy Nash,Louis van Amstel,Eliminated Week 8,5,7.0,5.0,6.0,,18.0,7.0,0.0861244019138756,True,0,eliminated,8.0,False
10,1,Buzz Aldrin,Ashly DelGrosso,Eliminated Week 3,10,5.0,4.0,5.0,,14.0,11.0,0.06698564593301436,True,0,eliminated,3.0,False
10,1,Chad Ochocinco,Cheryl Burke,Eliminated Week 9,4,6.0,6.0,6.0,,18.0,7.0,0.0861244019138756,True,0,eliminated,9.0,False
10,1,Evan Lysacek,Anna Trebunskaya,2nd Place,2,8.0,7.0,8.0,,23.0,2.0,0.11004784688995216,True,0,finished,10.0,False
10,1,Pamela Anderson,Damian Whitewood,Eliminated Week 7,6,7.0,6.0,8.0,,21.0,3.5,0.10047846889952153,True,0,eliminated,7.0,False
10,1,Nicole Scherzinger,Derek Hough,1st Place,1,9.0,7.0,9.0,,25.0,1.0,0.11961722488038277,True,0,finished,10.0,False
10,1,Erin Andrews,Maksim Chmerkoskiy,3rd Place,3,7.0,7.0,7.0,,21.0,3.5,0.10047846889952153,True,0,finished,10.0,False
10,1,Kate Gosselin,Tony Dovolani,Eliminated Week 5,8,6.0,5.0,5.0,,16.0,9.0,0.07655502392344497,True,0,eliminated,5.0,False
10,1,Jake Pavelka,Chelsie Hightower,Eliminated Week 6,7,7.0,6.0,7.0,,20.0,5.0,0.09569377990430622,True,0,eliminated,6.0,False
11,1,David Hasselhoff,Kym Johnson,Eliminated Week 1,12,5.0,5.0,5.0,,15.0,11.0,0.06607929515418502,True,1,eliminated,1.0,False
11,1,Florence Henderson,Corky Ballas,Eliminated Week 5,8,6.0,6.0,6.0,,18.0,7.5,0.07929515418502203,True,0,eliminated,5.0,False
11,1,Kyle Massey,Lacey Schwimmer,2nd Place,2,8.0,7.0,8.0,,23.0,2.5,0.1013215859030837,True,0,finished,10.0,False
11,1,Jennifer Grey,Derek Hough,1st Place,1,8.0,8.0,8.0,,24.0,1.0,0.10572687224669604,True,0,finished,10.0,False
11,1,Rick Fox,Cheryl Burke,Eliminated Week 7,6,8.0,7.0,7.0,,22.0,4.0,0.09691629955947137,True,0,eliminated,7.0,False
11,1,Kurt Warner,Anna Trebunskaya,Eliminated Week 8,5,7.0,5.0,7.0,,19.0,5.5,0.08370044052863436,True,0,eliminated,8.0,False
11,1,Margaret Cho,Louis van Amstel,Eliminated Week 3,10,5.0,5.0,5.0,,15.0,11.0,0.06607929515418502,True,0,eliminated,3.0,False
11,1,Michael Bolton,Chelsie Hightower,Eliminated Week 2,11,6.0,5.0,5.0,,16.0,9.0,0.07048458149779736,True,0,eliminated,2.0,False
11,1,Brandy,Maksim Chmerkoskiy,Eliminated Week 9,4,7.0,8.0,8.0,,23.0,2.5,0.1013215859030837,True,0,eliminated,9.0,False
11,1,The Situation,Karina Smirnoff,Eliminated Week 4,9,5.0,5.0,5.0,,15.0,11.0,0.06607929515418502,True,0,eliminated,4.0,False
11,1,Audrina Patridge,Tony Dovolani,Eliminated Week 6,7,6.0,7.0,6.0,,19.0,5.5,0.08370044052863436,True,0,eliminated,6.0,False
11,1,Bristol Palin,Mark Ballas,3rd Place,3,6.0,6.0,6.0,,18.0,7.5,0.07929515418502203,True,0,finished,10.0,False
12,1,Ralph Macchio,Karina Smirnoff,Eliminated Week 9,4,8.0,8.0,8.0,,24.0,1.0,0.11594202898550725,True,0,eliminated,9.0,False
12,1,Chelsea Kane,Mark Ballas,3rd Place,3,7.0,7.0,7.0,,21.0,3.5,0.10144927536231885,True,0,finished,10.0,False
12,1,Kirstie Alley,Maksim Chmerkoskiy,2nd Place,2,8.0,7.0,8.0,,23.0,2.0,0.1111111111111111,True,0,finished,10.0,False
12,1,Hines Ward,Kym Johnson,1st Place,1,7.0,7.0,7.0,,21.0,3.5,0.10144927536231885,True,0,finished,10.0,False
12,1,Sugar Ray Leonard,Anna Trebunskaya,Eliminated Week 4,9,6.0,5.0,6.0,,17.0,9.0,0.0821256038647343,True,0,eliminated,4.0,False
12,1,Chris Jericho,Cheryl Burke,Eliminated Week 6,7,7.0,6.0,6.0,,19.0,5.5,0.09178743961352658,True,0,eliminated,6.0,False
12,1,Petra Nemcova,Dmitry Chaplin,Eliminated Week 5,8,6.0,6.0,6.0,,18.0,7.5,0.08695652173913043,True,0,eliminated,5.0,False
12,1,Mike Catherwood,Lacey Schwimmer,Eliminated Week 2,11,5.0,4.0,4.0,,13.0,11.0,0.06280193236714976,True,0,eliminated,2.0,False
12,1,Romeo,Chelsie Hightower,Eliminated Week 8,5,7.0,6.0,6.0,,19.0,5.5,0.09178743961352658,True,0,eliminated,8.0,False
12,1,Wendy Williams,Tony Dovolani,Eliminated Week 3,10,5.0,4.0,5.0,,14.0,10.0,0.06763285024154589,True,0,eliminated,3.0,False
12,1,Kendra Wilkinson,Louis van Amstel,Eliminated Week 7,6,6.0,6.0,6.0,,18.0,7.5,0.08695652173913043,True,0,eliminated,7.0,False
13,1,Elisabetta Canalis,Valentin Chmerkovskiy,Eliminated Week 2,11,5.0,5.0,5.0,,15.0,11.0,0.06912442396313365,True,0,eliminated,2.0,False
13,1,David Arquette,Kym Johnson,Eliminated Week 7,6,6.0,6.0,6.0,,18.0,6.0,0.08294930875576037,True,0,eliminated,7.0,False
13,1,Ricki Lake,Derek Hough,3rd Place,3,7.0,6.0,7.0,,20.0,4.0,0.09216589861751152,True,0,finished,10.0,False
13,1,J.R. Martinez,Karina Smirnoff,1st Place,1,8.0,7.0,7.0,,22.0,1.5,0.10138248847926268,True,0,finished,10.0,False
13,1,Metta World Peace (Ron),Peta Murgatroyd,Eliminated Week 1,12,5.0,4.0,5.0,,14.0,12.0,0.06451612903225806,True,1,eliminated,1.0,False
13,1,Hope Solo,Maksim Chmerkoskiy,Eliminated Week 9,4,7.0,7.0,7.0,,21.0,3.0,0.0967741935483871,True,0,eliminated,9.0,False
13,1,Chynna Phillips,Tony Dovolani,Eliminated Week 4,9,8.0,7.0,7.0,,22.0,1.5,0.10138248847926268,True,0,eliminated,4.0,False
13,1,Kristin Cavallari,Mark Ballas,Eliminated Week 3,10,7.0,6.0,6.0,,19.0,5.0,0.08755760368663594,True,0,eliminated,3.0,False
13,1,Carson Kressley,Anna Trebunskaya,Eliminated Week 5,8,6.0,5.0,6.0,,17.0,7.5,0.07834101382488479,True,0,eliminated,5.0,False
13,1,Chaz Bono,Lacey Schwimmer,Eliminated Week 6,7,6.0,5.0,6.0,,17.0,7.5,0.07834101382488479,True,0,eliminated,6.0,False
13,1,Nancy Grace,Tristan MacManus,Eliminated Week 8,5,5.0,5.0,6.0,,16.0,9.5,0.07373271889400922,True,0,eliminated,8.0,False
13,1,Rob Kardashian,Cheryl Burke,2nd Place,2,6.0,5.0,5.0,,16.0,9.5,0.07373271889400922,True,0,finished,10.0,False
14,1,William Levy,Cheryl Burke,3rd Place,3,8.0,8.0,8.0,,24.0,3.0,0.08888888888888889,True,0,finished,10.0,False
14,1,Jack Wagner,Anna Trebunskaya,Eliminated Week 3,11,8.0,7.0,8.0,,23.0,5.5,0.08518518518518518,True,0,eliminated,3.0,False
14,1,Sherri Sheperd,Valentin Chmerkovskiy,Eliminated Week 4,10,8.0,7.0,8.0,,23.0,5.5,0.08518518518518518,True,0,eliminated,4.0,False
14,1,Jaleel White,Kym Johnson,Eliminated Week 7,7,9.0,8.0,9.0,,26.0,1.5,0.0962962962962963,True,0,eliminated,7.0,False
14,1,Roshon Fegan,Chelsie Hightower,Eliminated Week 8,6,8.0,7.0,8.0,,23.0,5.5,0.08518518518518518,True,0,eliminated,8.0,False
14,1,Melissa Gilbert,Maksim Chmerkoskiy,Eliminated Week 8,5,7.0,6.0,7.0,,20.0,11.0,0.07407407407407407,True,0,eliminated,8.0,False
14,1,Martina Navratilova,Tony Dovolani,Eliminated Week 2,12,7.0,6.0,7.0,,20.0,11.0,0.07407407407407407,True,0,eliminated,2.0,False
14,1,Donald Driver,Peta Murgatroyd,1st Place,1,7.0,7.0,7.0,,21.0,8.5,0.07777777777777778,True,0,finished,10.0,False
14,1,Gavin DeGraw,Karina Smirnoff,Eliminated Week 5,9,7.0,6.0,7.0,,20.0,11.0,0.07407407407407407,True,0,eliminated,5.0,False
14,1,Gladys Knight,Tristan MacManus,Eliminated Week 6,8,8.0,7.0,8.0,,23.0,5.5,0.08518518518518518,True,0,eliminated,6.0,False
14,1,Katherine Jenkins,Mark Ballas,2nd Place,2,9.0,8.0,9.0,,26.0,1.5,0.0962962962962963,True,0,finished,10.0,False
14,1,Maria Menounos,Derek Hough,Eliminated Week 9,4,7.0,7.0,7.0,,21.0,8.5,0.07777777777777778,True,0,eliminated,9.0,False
15,1,Gilles Marini,Peta Murgatroyd,Eliminated Week 8,6,8.0,8.0,8.0,,24.0,2.0,0.0867992766726944,True,0,eliminated,8.0,False
15,1,Sabrina Bryan,Louis van Amstel,Eliminated Week 6,8,7.5,7.5,7.5,,22.5,3.0,0.081374321880651,True,0,eliminated,6.0,False
15,1,Kirstie Alley,Maksim Chmerkoskiy,Eliminated Week 8,7,6.5,6.0,6.5,,19.0,12.0,0.06871609403254973,True,0,eliminated,8.0,False
15,1,Kelly Monaco,Valentin Chmerkovskiy,3rd Place,3,7.0,7.0,7.5,,21.5,7.0,0.07775768535262206,True,0,finished,10.0,False
15,1,Apolo Anton Ohno,Karina Smirnoff,Eliminated Week 9,5,7.5,7.0,7.5,,22.0,4.5,0.07956600361663653,True,0,eliminated,9.0,False
15,1,Emmitt Smith,Cheryl Burke,Eliminated Week 9,4,8.0,8.5,8.0,,24.5,1.0,0.08860759493670886,True,0,eliminated,9.0,False
15,1,Shawn Johnson,Derek Hough,2nd Place,2,8.0,6.5,7.5,,22.0,4.5,0.07956600361663653,True,0,finished,10.0,False
15,1,Pamela Anderson,Tristan MacManus,Eliminated Week 1,13,5.5,5.5,6.0,,17.0,13.0,0.06148282097649186,True,1,eliminated,1.0,False
15,1,Helio Castroneves,Chelsie Hightower,Eliminated Week 3,10,7.0,7.5,7.0,,21.5,7.0,0.07775768535262206,True,0,eliminated,3.0,False
15,1,Joey Fatone,Kym Johnson,Eliminated Week 2,12,6.5,7.0,7.0,,20.5,10.0,0.07414104882459313,True,0,eliminated,2.0,False
15,1,Drew Lachey,Anna Trebunskaya,Eliminated Week 3,11,7.0,7.0,7.5,,21.5,7.0,0.07775768535262206,True,0,eliminated,3.0,False
15,1,Bristol Palin,Mark Ballas,Eliminated Week 4,9,6.5,6.5,6.5,,19.5,11.0,0.0705244122965642,True,0,eliminated,4.0,False
15,1,Melissa Rycroft,Tony Dovolani,1st Place,1,7.0,7.0,7.0,,21.0,9.0,0.0759493670886076,True,0,finished,10.0,False
16,1,Ingo Rademacher,Kym Johnson,Eliminated Week 9,5,7.0,6.0,7.0,,20.0,5.5,0.08733624454148471,True,0,eliminated,9.0,False
16,1,Zendaya,Valentin Chmerkovskiy,2nd Place,2,8.0,8.0,8.0,,24.0,1.0,0.10480349344978165,True,0,finished,10.0,False
