season,week,celebrity_name,ballroom_partner,celebrity_industry,age,results,placement,elim_week,J_total,active,J_sum_week,J_pct,eliminated,contestant_id,total_judge_score,judge_percent,exit_week
2,2,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,20.0,True,200.0,0.1,False,2_Lisa Rinna,20.0,0.1,7.0
2,3,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,25.0,True,182.0,0.1373626373626373,False,2_Lisa Rinna,25.0,0.1373626373626373,7.0
2,4,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,26.0,True,158.0,0.1645569620253164,False,2_Lisa Rinna,26.0,0.1645569620253164,7.0
2,5,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,25.0,True,151.0,0.1655629139072847,False,2_Lisa Rinna,25.0,0.1655629139072847,7.0
2,6,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,27.0,True,133.0,0.2030075187969924,False,2_Lisa Rinna,27.0,0.2030075187969924,7.0
2,7,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,26.5,True,102.0,0.2598039215686274,True,2_Lisa Rinna,26.5,0.2598039215686274,7.0
2,8,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,0.0,False,84.3329,0.0,False,2_Lisa Rinna,0.0,0.0,7.0
2,1,Stacy Keibler,Tony Dovolani,Athlete,26,3rd Place,3,,22.0,True,195.0,0.1128205128205128,False,2_Stacy Keibler,22.0,0.1128205128205128,
2,2,Stacy Keibler,Tony Dovolani,Athlete,26,3rd Place,3,,29.0,True,200.0,0.145,False,2_Stacy Keibler,29.0,0.145,
2,3,Stacy Keibler,Tony Dovolani,Athlete,26,3rd Place,3,,27.0,True,182.0,0.1483516483516483,False,2_Stacy Keibler,27.0,0.1483516483516483,
2,4,Stacy Keibler,Tony Dovolani,Athlete,26,3rd Place,3,,26.0,True,158.0,0.1645569620253164,False,2_Stacy Keibler,26.0,0.1645569620253164,
2,5,Stacy Keibler,Tony Dovolani,Athlete,26,3rd Place,3,,30.0,True,151.0,0.1986754966887417,False,2_Stacy Keibler,30.0,0.1986754966887417,
2,6,Stacy Keibler,Tony Dovolani,Athlete,26,3rd Place,3,,30.0,True,133.0,0.225563909774436,False,2_Stacy Keibler,30.0,0.225563909774436,
2,7,Stacy Keibler,Tony Dovolani,Athlete,26,3rd Place,3,,27.5,True,102.0,0.2696078431372549,False,2_Stacy Keibler,27.5,0.2696078431372549,
2,8,Stacy Keibler,Tony Dovolani,Athlete,26,3rd Place,3,,28.6665,True,84.3329,0.339920718960216,False,2_Stacy Keibler,28.6665,0.339920718960216,
2,1,Jerry Rice,Anna Trebunskaya,Athlete,43,2nd Place,2,,21.0,True,195.0,0.1076923076923077,False,2_Jerry Rice,21.0,0.1076923076923077,
2,2,Jerry Rice,Anna Trebunskaya,Athlete,43,2nd Place,2,,23.0,True,200.0,0.115,False,2_Jerry Rice,23.0,0.115,
2,3,Jerry Rice,Anna Trebunskaya,Athlete,43,2nd Place,2,,19.0,True,182.0,0.1043956043956044,False,2_Jerry Rice,19.0,0.1043956043956044,
2,4,Jerry Rice,Anna Trebunskaya,Athlete,43,2nd Place,2,,24.0,True,158.0,0.1518987341772152,False,2_Jerry Rice,24.0,0.1518987341772152,
2,5,Jerry Rice,Anna Trebunskaya,Athlete,43,2nd Place,2,,23.0,True,151.0,0.152317880794702,False,2_Jerry Rice,23.0,0.152317880794702,
2,6,Jerry Rice,Anna Trebunskaya,Athlete,43,2nd Place,2,,23.0,True,133.0,0.1729323308270676,False,2_Jerry Rice,23.0,0.1729323308270676,
2,7,Jerry Rice,Anna Trebunskaya,Athlete,43,2nd Place,2,,20.5,True,102.0,0.2009803921568627,False,2_Jerry Rice,20.5,0.2009803921568627,
2,8,Jerry Rice,Anna Trebunskaya,Athlete,43,2nd Place,2,,26.666600000000003,True,84.3329,0.3162063678588072,False,2_Jerry Rice,26.666600000000003,0.3162063678588072,
2,1,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,23.0,True,195.0,0.1179487179487179,False,2_Giselle Fernandez,23.0,0.1179487179487179,3.0
2,2,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,24.0,True,200.0,0.12,False,2_Giselle Fernandez,24.0,0.12,3.0
2,3,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,22.0,True,182.0,0.1208791208791208,True,2_Giselle Fernandez,22.0,0.1208791208791208,3.0
2,4,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,0.0,False,158.0,0.0,False,2_Giselle Fernandez,0.0,0.0,3.0
2,5,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,0.0,False,151.0,0.0,False,2_Giselle Fernandez,0.0,0.0,3.0
2,6,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,0.0,False,133.0,0.0,False,2_Giselle Fernandez,0.0,0.0,3.0
2,7,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,0.0,False,102.0,0.0,False,2_Giselle Fernandez,0.0,0.0,3.0
2,8,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,0.0,False,84.3329,0.0,False,2_Giselle Fernandez,0.0,0.0,3.0
2,1,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,12.0,True,195.0,0.0615384615384615,False,2_Master P,12.0,0.0615384615384615,4.0
2,2,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,16.0,True,200.0,0.08,False,2_Master P,16.0,0.08,4.0
2,3,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,14.0,True,182.0,0.0769230769230769,False,2_Master P,14.0,0.0769230769230769,4.0
2,4,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,8.0,True,158.0,0.050632911392405,True,2_Master P,8.0,0.050632911392405,4.0
2,5,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,0.0,False,151.0,0.0,False,2_Master P,0.0,0.0,4.0
2,6,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,0.0,False,133.0,0.0,False,2_Master P,0.0,0.0,4.0
2,7,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,0.0,False,102.0,0.0,False,2_Master P,0.0,0.0,4.0
2,8,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,0.0,False,84.3329,0.0,False,2_Master P,0.0,0.0,4.0
2,1,Drew Lachey,Cheryl Burke,Singer/Rapper,29,1st Place,1,,24.0,True,195.0,0.123076923076923,False,2_Drew Lachey,24.0,0.123076923076923,
2,2,Drew Lachey,Cheryl Burke,Singer/Rapper,29,1st Place,1,,27.0,True,200.0,0.135,False,2_Drew Lachey,27.0,0.135,
2,3,Drew Lachey,Cheryl Burke,Singer/Rapper,29,1st Place,1,,27.0,True,182.0,0.1483516483516483,False,2_Drew Lachey,27.0,0.1483516483516483,
2,4,Drew Lachey,Cheryl Burke,Singer/Rapper,29,1st Place,1,,28.0,True,158.0,0.1772151898734177,False,2_Drew Lachey,28.0,0.1772151898734177,
2,5,Drew Lachey,Cheryl Burke,Singer/Rapper,29,1st Place,1,,27.0,True,151.0,0.1788079470198675,False,2_Drew Lachey,27.0,0.1788079470198675,
2,6,Drew Lachey,Cheryl Burke,Singer/Rapper,29,1st Place,1,,30.0,True,133.0,0.225563909774436,False,2_Drew Lachey,30.0,0.225563909774436,
2,7,Drew Lachey,Cheryl Burke,Singer/Rapper,29,1st Place,1,,27.5,True,102.0,0.2696078431372549,False,2_Drew Lachey,27.5,0.2696078431372549,
2,8,Drew Lachey,Cheryl Burke,Singer/Rapper,29,1st Place,1,,28.9998,True,84.3329,0.3438729131809768,False,2_Drew Lachey,28.9998,0.3438729131809768,
2,1,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated Week 1,10,1.0,13.0,True,195.0,0.0666666666666666,True,2_Kenny Mayne,13.0,0.0666666666666666,1.0
2,2,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated Week 1,10,1.0,0.0,False,200.0,0.0,False,2_Kenny Mayne,0.0,0.0,1.0
2,3,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated Week 1,10,1.0,0.0,False,182.0,0.0,False,2_Kenny Mayne,0.0,0.0,1.0
2,4,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated Week 1,10,1.0,0.0,False,158.0,0.0,False,2_Kenny Mayne,0.0,0.0,1.0
2,5,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated Week 1,10,1.0,0.0,False,151.0,0.0,False,2_Kenny Mayne,0.0,0.0,1.0
2,6,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated Week 1,10,1.0,0.0,False,133.0,0.0,False,2_Kenny Mayne,0.0,0.0,1.0
2,7,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated Week 1,10,1.0,0.0,False,102.0,0.0,False,2_Kenny Mayne,0.0,0.0,1.0
2,8,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated Week 1,10,1.0,0.0,False,84.3329,0.0,False,2_Kenny Mayne,0.0,0.0,1.0
3,1,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,17.0,True,212.0,0.080188679245283,False,3_Harry Hamlin,17.0,0.080188679245283,3.0
3,2,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,21.0,True,230.0,0.0913043478260869,False,3_Harry Hamlin,21.0,0.0913043478260869,3.0
3,3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,22.0,True,207.0,0.1062801932367149,True,3_Harry Hamlin,22.0,0.1062801932367149,3.0
3,4,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,0.0,False,198.0,0.0,False,3_Harry Hamlin,0.0,0.0,3.0
3,5,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,0.0,False,181.0,0.0,False,3_Harry Hamlin,0.0,0.0,3.0
3,6,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,0.0,False,118.0,0.0,False,3_Harry Hamlin,0.0,0.0,3.0
3,7,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,0.0,False,135.0,0.0,False,3_Harry Hamlin,0.0,0.0,3.0
3,8,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,0.0,False,109.0,0.0,False,3_Harry Hamlin,0.0,0.0,3.0
3,9,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,0.0,False,88.5,0.0,False,3_Harry Hamlin,0.0,0.0,3.0
3,10,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,Eliminated Week 3,9,3.0,0.0,False,59.333200000000005,0.0,False,3_Harry Hamlin,0.0,0.0,3.0
3,1,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,22.0,True,212.0,0.1037735849056603,False,3_Vivica A. Fox,22.0,0.1037735849056603,4.0
3,2,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,24.0,True,230.0,0.1043478260869565,False,3_Vivica A. Fox,24.0,0.1043478260869565,4.0
3,3,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,27.0,True,207.0,0.1304347826086956,False,3_Vivica A. Fox,27.0,0.1304347826086956,4.0
3,4,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,24.0,True,198.0,0.1212121212121212,True,3_Vivica A. Fox,24.0,0.1212121212121212,4.0
3,5,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,0.0,False,181.0,0.0,False,3_Vivica A. Fox,0.0,0.0,4.0
3,6,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,0.0,False,118.0,0.0,False,3_Vivica A. Fox,0.0,0.0,4.0
3,7,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,0.0,False,135.0,0.0,False,3_Vivica A. Fox,0.0,0.0,4.0
3,8,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,0.0,False,109.0,0.0,False,3_Vivica A. Fox,0.0,0.0,4.0
3,9,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,0.0,False,88.5,0.0,False,3_Vivica A. Fox,0.0,0.0,4.0
3,10,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Eliminated Week 4,8,4.0,0.0,False,59.333200000000005,0.0,False,3_Vivica A. Fox,0.0,0.0,4.0
3,1,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,19.0,True,212.0,0.0896226415094339,False,3_Monique Coleman,19.0,0.0896226415094339,8.0
3,2,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,26.0,True,230.0,0.1130434782608695,False,3_Monique Coleman,26.0,0.1130434782608695,8.0
3,3,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,27.0,True,207.0,0.1304347826086956,False,3_Monique Coleman,27.0,0.1304347826086956,8.0
3,4,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,24.0,True,198.0,0.1212121212121212,False,3_Monique Coleman,24.0,0.1212121212121212,8.0
3,5,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,27.0,True,181.0,0.149171270718232,False,3_Monique Coleman,27.0,0.149171270718232,8.0
3,6,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,23.0,True,118.0,0.1949152542372881,False,3_Monique Coleman,23.0,0.1949152542372881,8.0
3,7,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,27.0,True,135.0,0.2,False,3_Monique Coleman,27.0,0.2,8.0
3,8,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,26.5,True,109.0,0.2431192660550458,True,3_Monique Coleman,26.5,0.2431192660550458,8.0
3,9,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,0.0,False,88.5,0.0,False,3_Monique Coleman,0.0,0.0,8.0
3,10,Monique Coleman,Louis van Amstel,Actor/Actress,25,Eliminated Week 8,4,8.0,0.0,False,59.333200000000005,0.0,False,3_Monique Coleman,0.0,0.0,8.0
3,1,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,3rd Place,3,,21.0,True,212.0,0.0990566037735849,False,3_Joey Lawrence,21.0,0.0990566037735849,
3,2,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,3rd Place,3,,29.0,True,230.0,0.1260869565217391,False,3_Joey Lawrence,29.0,0.1260869565217391,
3,3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,3rd Place,3,,22.0,True,207.0,0.1062801932367149,False,3_Joey Lawrence,22.0,0.1062801932367149,
3,4,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,3rd Place,3,,27.0,True,198.0,0.1363636363636363,False,3_Joey Lawrence,27.0,0.1363636363636363,
3,5,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,3rd Place,3,,25.0,True,181.0,0.1381215469613259,False,3_Joey Lawrence,25.0,0.1381215469613259,
3,6,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,3rd Place,3,,24.0,True,118.0,0.2033898305084746,False,3_Joey Lawrence,24.0,0.2033898305084746,
3,7,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,3rd Place,3,,28.5,True,135.0,0.2111111111111111,False,3_Joey Lawrence,28.5,0.2111111111111111,
3,8,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,3rd Place,3,,27.0,True,109.0,0.2477064220183486,False,3_Joey Lawrence,27.0,0.2477064220183486,
3,9,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,3rd Place,3,,29.5,True,88.5,0.3333333333333333,False,3_Joey Lawrence,29.5,0.3333333333333333,
