season,celebrity_name,week,p_est,pmin,pmax,note
7,Misty May-Treanor,1,4.613280243925821e-17,0.0,1.0,
7,Susan Lucci,1,4.4393545319075323e-17,0.0,1.0,
7,Ted McGinley,1,0.0,0.0,1.0,
7,Toni Braxton,1,1.8907673760877272e-17,0.0,1.0,
7,Kim Kardashian,2,2.0481256664608985e-17,0.0,1.0,
7,Maurice Greene,2,4.972083400382743e-17,0.0,1.0,
7,Misty May-Treanor,2,1.853985714950213e-17,0.0,1.0,
8,Belinda Carlisle,1,0.0,0.0,1.0,
8,Chuck Wicks,1,2.564138137928218e-17,0.0,1.0,
8,Denise Richards,1,0.0,0.0,1.0,
8,Holly Madison,1,4.256848779721212e-17,0.0,1.0,
8,Lil' Kim,1,0.0,0.0,1.0,
8,Belinda Carlisle,2,0.0,0.0,1.0,
8,Chuck Wicks,2,0.0,0.0,1.0,
8,Denise Richards,2,0.0,0.0,1.0,
8,Holly Madison,2,0.0,0.0,1.0,
8,Lil' Kim,2,0.0,0.0,1.0,
9,Aaron Carter,1,0.0,0.0,1.0,
9,Mark Dacascos,1,8.125895723123097e-18,0.0,1.0,
9,Debi Mazar,2,6.551834880555461e-18,0.0,1.0,
9,Aaron Carter,3,0.0,0.0,1.0,
9,Chuck Liddell,3,2.796230829202733e-18,0.0,1.0,
9,Debi Mazar,3,6.012460405886913e-19,0.0,1.0,
9,Joanna Krupa,3,0.0,0.0,1.0,
9,Mark Dacascos,3,7.1589041273484e-18,0.0,1.0,
9,Melissa Joan Hart,3,6.505977131697001e-18,0.0,1.0,
9,Natalie Coughlin,3,2.392245898782971e-18,0.0,1.0,
10,Jake Pavelka,1,4.1362312880322e-17,0.0,1.0,
10,Niecy Nash,1,4.098284211995207e-17,0.0,1.0,
10,Pamela Anderson,1,0.0,0.0,1.0,
10,Shannen Doherty,1,1.2427667402115096e-17,0.0,1.0,
10,Jake Pavelka,2,3.447750245030921e-17,0.0,1.0,
10,Niecy Nash,2,1.5125389833129738e-17,0.0,1.0,
10,Pamela Anderson,2,9.90701960759174e-18,0.0,1.0,
10,Shannen Doherty,2,7.169352090207251e-17,0.0,1.0,
10,Jake Pavelka,3,0.0,0.0,1.0,
10,Pamela Anderson,3,1.0613550362485689e-17,0.0,1.0,
11,Audrina Patridge,6,2.8875656405045785e-17,0.0,1.0,
11,Brandy,6,1.4140251048718792e-17,0.0,1.0,
12,Chris Jericho,1,5.9461420568903056e-18,0.0,1.0,
12,Chris Jericho,4,1.5448116573050562e-17,0.0,1.0,
12,Petra Nemcova,4,9.482219891386537e-18,0.0,1.0,
12,Sugar Ray Leonard,4,1.6034383364243786e-17,0.0,1.0,
12,Romeo,8,1.0766270501678461e-17,0.0,1.0,
13,Chynna Phillips,1,2.341063540939325e-16,0.0,1.0,
13,Elisabetta Canalis,1,0.0,0.0,1.0,
13,Kristin Cavallari,1,0.0,0.0,1.0,
13,Metta World Peace (Ron),1,0.0,0.0,1.0,
13,Chynna Phillips,2,0.0,0.0,1.0,
13,Elisabetta Canalis,2,0.0,0.0,1.0,
13,Kristin Cavallari,2,0.0,0.0,1.0,
13,Chynna Phillips,3,0.0,0.0,1.0,
13,Kristin Cavallari,3,0.0,0.0,1.0,
13,Chynna Phillips,4,3.646985057698116e-17,0.0,1.0,
14,Jack Wagner,3,5.5995666934262434e-18,0.0,1.0,
14,Gavin DeGraw,4,3.086256684465511e-17,0.0,1.0,
14,Sherri Sheperd,4,4.73948706909885e-17,0.0,1.0,
14,Jaleel White,7,1.3444106938820257e-19,0.0,1.0,
14,Roshon Fegan,8,2.8090524191884894e-17,0.0,1.0,
15,Apolo Anton Ohno,2,7.872723174711759e-17,0.0,1.0,
15,Drew Lachey,2,4.919723055103111e-18,0.0,1.0,
15,Helio Castroneves,2,1.6343689700483818e-17,0.0,1.0,
15,Joey Fatone,2,3.744444189222592e-18,0.0,1.0,
15,Sabrina Bryan,2,5.8421749970720914e-18,0.0,1.0,
15,Helio Castroneves,3,3.464676380193705e-07,0.0,1.0,
15,Sabrina Bryan,6,1.6863173150682242e-17,0.0,1.0,
16,Andy Dick,1,4.5739779151732226e-18,0.0,1.0,
16,Sean Lowe,1,1.2332799712022613e-17,0.0,1.0,
16,Wynonna Judd,1,7.589415207398531e-18,0.0,1.0,
16,Andy Dick,2,3.686287386450715e-18,0.0,1.0,
16,Sean Lowe,2,6.86389336184577e-18,0.0,1.0,
16,Victor Ortiz,2,3.842141448745506e-18,0.0,1.0,
16,Lisa Vanderpump,3,7.03376159399971e-18,0.0,1.0,
16,Sean Lowe,3,4.9019531089998476e-18,0.0,1.0,
16,Wynonna Judd,3,5.230340721049368e-18,0.0,1.0,
16,D. L. Hughley,4,6.830473686658679e-18,0.0,1.0,
17,Keyshawn Johnson,2,3.0249264701188855e-08,0.0,1.0,
17,Christina Milian,5,1.5423146541322225e-17,0.0,1.0,
18,Charlie White,1,0.0,0.0,1.0,
18,Cody Simpson,1,5.662126289286279e-18,0.0,1.0,
18,Danica McKellar,1,0.0,0.0,1.0,
18,Diana Nyad,1,0.0,0.0,1.0,
18,Sean Avery,1,0.0,0.0,1.0,
18,Charlie White,2,0.0,0.0,1.0,
18,Cody Simpson,2,1.1790950378241056e-17,0.0,1.0,
18,Danica McKellar,2,0.0,0.0,1.0,
18,Diana Nyad,2,7.304388658878097e-19,0.0,1.0,
18,Sean Avery,2,0.0,0.0,1.0,
19,Lea Thompson,1,2.2307691135153974e-18,0.0,1.0,
19,Lolo Jones,1,3.921029820118668e-17,0.0,1.0,
19,Tavis Smiley,1,1.3404741875742362e-17,0.0,1.0,
19,Betsey Johnson,4,1.2941699132589502e-17,0.0,1.0,
19,Lea Thompson,8,4.670147855531785e-17,0.0,1.0,
19,Lea Thompson,9,5.867698972926612e-17,0.0,1.0,
20,Redfoo,2,1.8101009209678097e-17,0.0,1.0,
20,Willow Shields,3,1.1229329603149304e-16,0.0,1.0,
20,Nastia Liukin,7,1.4074201138343168e-16,0.0,1.0,
20,Willow Shields,7,1.1860118849018127e-16,0.0,1.0,
21,Victor Espinoza,2,3.0938548333159785e-18,0.0,1.0,
21,Hayes Grier,7,4.9992765401835984e-18,0.0,1.0,
21,Alexa PenaVega,9,2.610930845963625e-17,0.0,1.0,
22,Kim Fields,4,1.1447225877040773e-17,0.0,1.0,
22,Marla Maples,4,2.4189897494556818e-17,0.0,1.0,
22,Von Miller,4,1.1372577450745881e-17,0.0,1.0,
22,Kim Fields,6,1.0627011429940337e-17,0.0,1.0,
22,Von Miller,6,1.2599930690624412e-17,0.0,1.0,
22,Jodie Sweetin,8,1.5261424575258396e-17,0.0,1.0,
23,Babyface,1,5.926520125348889e-17,0.0,1.0,
23,Maureen McCormick,1,0.0,0.0,1.0,
23,Babyface,2,4.552293871723512e-17,0.0,1.0,
23,Jake T. Austin,2,3.495588778045896e-17,0.0,1.0,
23,Babyface,3,0.0,0.0,1.0,
23,Ryan Lochte,8,1.6311821685044414e-16,0.0,1.0,
24,Heather Morris,6,4.74325848166056e-18,0.0,1.0,
25,Barbara Corcoran,2,4.4639687815711e-18,0.0,1.0,
25,Debbie Gibson,2,2.45622961646944e-18,0.0,1.0,
25,Sasha Pieterse,5,2.3443118599826773e-18,0.0,1.0,
25,Vanessa Lachey,6,3.732292120732915e-18,0.0,1.0,
25,Vanessa Lachey,7,4.539884007311633e-18,0.0,1.0,
26,Arike Ogunbowale,1,0.0,0.0,1.0,
26,Jamie Anderson,1,0.0,0.0,1.0,
26,Johnny Damon,1,0.0,0.0,1.0,
26,Mirai Nagasu,1,0.0,0.0,1.0,
26,Arike Ogunbowale,2,0.0,0.0,1.0,
26,Mirai Nagasu,2,8.126434095957756e-17,0.0,1.0,
26,Mirai Nagasu,3,0.0,0.0,1.0,
27,Mary Lou Retton,4,6.8194821529741604e-18,0.0,1.0,
27,Tinashe,4,9.465053606043901e-18,0.0,1.0,
27,Mary Lou Retton,6,4.9537403622049444e-18,0.0,1.0,
28,Mary Wilson,2,0.0,0.0,1.0,
28,Sailor Brinkley-Cook,2,8.243208074060519e-19,0.0,1.0,
28,Sailor Brinkley-Cook,4,4.246268729256623e-18,0.0,1.0,
28,Sailor Brinkley-Cook,6,9.3040521128199e-18,0.0,1.0,
28,Kate Flannery,8,9.323548344239488e-18,0.0,1.0,
29,Veron Davis,6,3.497022757011633e-18,0.0,1.0,
29,Johnny Weir,10,3.989215257482929e-18,0.0,1.0,
30,Olivia Jade,1,6.0336841322333814e-18,0.0,1.0,
30,Christine Chiu,3,1.3698603131511457e-18,0.0,1.0,
30,Kenya Moore,3,5.170019431364471e-18,0.0,1.0,
30,Melanie C,3,2.7328017708090253e-18,0.0,1.0,
30,Melora Hardin,3,3.034010181480343e-18,0.0,1.0,
30,Olivia Jade,3,1.2710963952025244e-18,0.0,1.0,
30,Melanie C,4,6.593803604106033e-19,0.0,1.0,
30,Melora Hardin,4,4.392165400729823e-18,0.0,1.0,
30,Olivia Jade,4,1.0503620360078365e-18,0.0,1.0,
30,Melanie C,5,2.4077521962988992e-18,0.0,1.0,
31,Heidi D'Amelio,1,1.8040327511460666e-17,0.0,1.0,
31,Jessie James Decker,1,1.0676461403795004e-17,0.0,1.0,
31,Jordin Sparks,1,1.3066753463544249e-17,0.0,1.0,
31,Teresa Giudice,1,1.7227339445935865e-18,0.0,1.0,
31,Heidi D'Amelio,2,8.227750627568335e-18,0.0,1.0,
31,Jessie James Decker,2,7.798457339890398e-18,0.0,1.0,
31,Teresa Giudice,2,7.993587791804788e-18,0.0,1.0,
31,Heidi D'Amelio,3,1.3105679020717121e-17,0.0,1.0,
31,Jessie James Decker,3,2.341331852305086e-18,0.0,1.0,
31,Jordin Sparks,3,2.1409056445078464e-17,0.0,1.0,
32,Jamie Lynn Spears,1,6.964117592921561e-17,0.0,1.0,
32,Jamie Lynn Spears,2,2.9328508847931736e-17,0.0,1.0,
32,Lele Pons,6,1.2905015110249654e-16,0.0,1.0,
32,Lele Pons,7,5.122948256334079e-17,0.0,1.0,
33,Anna Delvey,1,3.319014966946044e-18,0.0,1.0,
33,Brooks Nader,1,2.330719771223574e-18,0.0,1.0,
33,Jenn Tran,1,4.182648693541735e-18,0.0,1.0,
33,Tori Spelling,1,3.1465604990895543e-18,0.0,1.0,
33,Anna Delvey,2,9.125750489123016e-18,0.0,1.0,
33,Brooks Nader,2,1.3009195500967024e-18,0.0,1.0,
33,Jenn Tran,2,0.0,0.0,1.0,
33,Phaedra Parks,2,0.0,0.0,1.0,
33,Tori Spelling,2,0.0,0.0,1.0,
33,Brooks Nader,3,3.2526065174565133e-19,0.0,1.0,
34,Hilaria Baldwin,4,4.515661100250421e-19,0.0,1.0,
34,Jen Affleck,4,0.0,0.0,1.0,
34,Whitney Leavitt,4,0.0,0.0,1.0,
34,Whitney Leavitt,5,0.0,0.0,1.0,
34,Whitney Leavitt,6,0.0,0.0,1.0,
